"gene","logFC","AveExpr","pvalue","padj"
"ENSG00000000003",-0.3812,9.811,0.0001533,0.001289
"ENSG00000000419",0.2068,9.4837,0.06504,0.1949
"ENSG00000000457",0.038,8.7245,0.7904,0.9099
"ENSG00000000460",-0.0885,7.7676,0.756,0.893
"ENSG00000000971",0.4264,12.4996,1.573e-06,2.064e-05
"ENSG00000001036",-0.241,10.5311,0.006758,0.03346
"ENSG00000001084",-0.0476,9.64,0.7752,0.9026
"ENSG00000001167",-0.5003,9.1126,3.329e-05,0.0003297
"ENSG00000001460",-0.1239,8.5088,0.4889,0.7205
"ENSG00000001461",-0.041,11.5081,0.6903,0.8569
"ENSG00000001497",-0.004,9.5255,0.9699,0.9884
"ENSG00000001561",0.2251,8.0609,0.2955,0.5437
"ENSG00000001617",-0.2502,9.6276,0.0208,0.08196
"ENSG00000001626",-1.0867,7.0608,0.1664,0.3799
"ENSG00000001629",-0.2266,10.9472,0.005131,0.02672
"ENSG00000001630",0.0126,7.7395,0.9675,0.9871
"ENSG00000001631",-0.0367,9.9446,0.7227,0.8752
"ENSG00000002016",-0.3105,8.5091,0.05099,0.1627
"ENSG00000002330",0.089,8.4879,0.5638,0.7753
"ENSG00000002549",0.1867,10.4981,0.07838,0.223
"ENSG00000002586",0.0898,13.0465,0.2676,0.5123
"ENSG00000002745",-0.2682,7.0653,0.7279,0.878
"ENSG00000002746",0.1025,8.121,0.6041,0.8038
"ENSG00000002822",-0.1602,9.0779,0.2253,0.46
"ENSG00000002834",0.3967,12.8333,2.178e-05,0.0002266
"ENSG00000002919",0.4044,8.765,0.003765,0.02051
"ENSG00000002933",0.3611,8.9278,0.01358,0.05837
"ENSG00000003056",-0.0725,10.3082,0.4323,0.6748
"ENSG00000003096",-0.9409,9.1143,5.505e-11,1.384e-09
"ENSG00000003137",-0.897,8.0241,0.002052,0.01233
"ENSG00000003249",-0.2802,8.1605,0.1472,0.3505
"ENSG00000003393",0.1719,10.0314,0.07285,0.2116
"ENSG00000003400",-0.408,7.9282,0.07058,0.2069
"ENSG00000003402",1.1905,11.3167,7.796e-23,6.6e-21
"ENSG00000003436",-0.1966,12.1699,0.1907,0.4147
"ENSG00000003509",-0.0511,8.9058,0.7062,0.8656
"ENSG00000003756",-0.1887,11.1792,0.04812,0.1561
"ENSG00000003987",1.0049,7.4202,0.006523,0.03245
"ENSG00000003989",0.5533,7.5331,0.142,0.3417
"ENSG00000004059",0.3666,10.4711,3.459e-05,0.0003412
"ENSG00000004139",-0.1663,7.9815,0.4479,0.6874
"ENSG00000004142",0.1436,10.6964,0.09959,0.2648
"ENSG00000004399",-0.039,11.8756,0.73,0.8789
"ENSG00000004455",0.0302,10.4711,0.8017,0.9152
"ENSG00000004478",-0.0734,9.3686,0.5184,0.7415
"ENSG00000004487",-0.2995,10.4881,0.0006576,0.00465
"ENSG00000004534",-0.1881,10.5333,0.04044,0.1369
"ENSG00000004660",-0.565,7.9077,0.03456,0.1215
"ENSG00000004700",0.3686,10.2636,0.0002966,0.002314
"ENSG00000004766",-0.0302,9.3981,0.7879,0.9088
"ENSG00000004776",-0.0738,11.487,0.411,0.657
"ENSG00000004777",-0.409,8.0508,0.05477,0.1717
"ENSG00000004779",0.1044,9.1217,0.4132,0.6589
"ENSG00000004799",2.645,9.5329,2.579e-05,0.0002634
"ENSG00000004838",-0.4143,7.2264,0.4503,0.6896
"ENSG00000004846",-1.6976,7.2649,0.002162,0.01289
"ENSG00000004864",-6e-04,8.3527,0.9971,0.9987
"ENSG00000004866",-0.5621,9.221,3.541e-05,0.0003482
"ENSG00000004897",0.0542,10.7511,0.539,0.7572
"ENSG00000004961",-0.1467,9.2992,0.2701,0.5153
"ENSG00000004975",-0.32,10.2059,0.001056,0.007005
"ENSG00000005007",0.2393,11.265,0.004045,0.02182
"ENSG00000005020",0.2176,9.8841,0.04752,0.1547
"ENSG00000005022",-0.0327,10.3663,0.7297,0.8788
"ENSG00000005059",0.0871,8.6204,0.5731,0.7821
"ENSG00000005075",0.057,9.9905,0.5996,0.7996
"ENSG00000005100",0.3609,9.4025,0.006266,0.03144
"ENSG00000005108",0.5557,7.1801,0.3333,0.5824
"ENSG00000005156",-0.3926,8.5834,0.02173,0.08477
"ENSG00000005175",-0.2235,8.9504,0.1018,0.2687
"ENSG00000005187",0.028,7.1381,0.9651,0.9863
"ENSG00000005189",-0.366,7.9052,0.1669,0.3807
"ENSG00000005194",0.1664,9.3429,0.1317,0.3239
"ENSG00000005206",0.0648,9.7451,0.5505,0.7661
"ENSG00000005238",-0.1831,9.8146,0.09399,0.2533
"ENSG00000005243",-0.0976,10.2448,0.293,0.5416
"ENSG00000005249",0.6074,8.9016,0.0007619,0.005297
"ENSG00000005302",0.1461,9.3565,0.2429,0.4829
"ENSG00000005339",-0.1017,11.4283,0.3193,0.5678
"ENSG00000005379",0.2405,8.3585,0.2018,0.4299
"ENSG00000005381",0.1888,6.9977,0.8566,0.9409
"ENSG00000005436",0.1483,8.7935,0.2662,0.5107
"ENSG00000005448",0.3043,8.7011,0.07585,0.2177
"ENSG00000005469",-0.2419,9.2391,0.07153,0.2088
"ENSG00000005471",-1.1204,7.5045,0.001577,0.00983
"ENSG00000005483",0.0853,10.8912,0.3439,0.5922
"ENSG00000005486",-0.1116,10.03,0.2579,0.502
"ENSG00000005700",-0.0553,10.4068,0.5717,0.7813
"ENSG00000005801",-0.3037,8.6182,0.04908,0.1586
"ENSG00000005810",-0.0219,11.358,0.8128,0.9205
"ENSG00000005812",0.4689,10.6319,2.705e-05,0.0002746
"ENSG00000005882",-0.0673,9.7133,0.5651,0.7763
"ENSG00000005884",0.3486,10.4829,0.006214,0.03124
"ENSG00000005889",0.0821,9.931,0.3956,0.6414
"ENSG00000005893",0.067,12.3915,0.3761,0.6225
"ENSG00000005955",0.1079,10.6708,0.2893,0.5379
"ENSG00000005961",-0.2646,7.1262,0.6991,0.8617
"ENSG00000006007",0.169,11.2283,0.04953,0.1597
"ENSG00000006015",-0.0418,9.1131,0.7614,0.8962
"ENSG00000006016",0.2887,8.2872,0.1905,0.4143
"ENSG00000006025",-0.949,8.3753,1.024e-07,1.668e-06
"ENSG00000006042",-0.0318,11.6843,0.6896,0.8564
"ENSG00000006062",-0.6982,8.5433,0.0003615,0.002751
"ENSG00000006114",-0.5132,10.21,8.833e-08,1.449e-06
"ENSG00000006118",-0.5025,9.2753,2.546e-05,0.0002605
"ENSG00000006125",0.0417,12.7596,0.6914,0.8574
"ENSG00000006194",0.1012,9.5479,0.4093,0.6554
"ENSG00000006210",1.3105,7.1242,0.04808,0.156
"ENSG00000006282",-0.109,10.611,0.2185,0.4509
"ENSG00000006283",-1.4659,7.7468,2.591e-07,3.943e-06
"ENSG00000006327",-0.2567,9.5232,0.2229,0.4564
"ENSG00000006432",-0.1161,7.0381,0.8885,0.9543
"ENSG00000006451",-0.5577,10.3081,2.117e-06,2.706e-05
"ENSG00000006453",-0.2085,8.3642,0.2094,0.4397
"ENSG00000006459",-0.0077,9.1861,0.9669,0.9868
"ENSG00000006468",-0.2639,8.5492,0.2077,0.4371
"ENSG00000006530",0.0044,8.9625,0.972,0.9891
"ENSG00000006534",0.4493,10.342,0.0001338,0.001145
"ENSG00000006576",-0.4302,10.2865,9.173e-06,0.0001036
"ENSG00000006607",0.598,10.0461,2.529e-07,3.862e-06
"ENSG00000006625",-0.1632,8.55,0.3066,0.5555
"ENSG00000006634",-0.3583,7.9841,0.08354,0.2333
"ENSG00000006638",-0.6443,7.8289,0.007383,0.0361
"ENSG00000006652",-0.0435,10.3034,0.6459,0.83
"ENSG00000006695",0.2245,8.5105,0.1759,0.3941
"ENSG00000006704",-0.2236,8.8675,0.1406,0.3392
"ENSG00000006712",-0.2023,10.3431,0.04608,0.1512
"ENSG00000006715",-0.0629,11.2377,0.4671,0.7026
"ENSG00000006740",-0.0479,7.5461,0.8806,0.95
"ENSG00000006744",0.1648,10.1342,0.1223,0.3067
"ENSG00000006756",-0.0044,9.2971,0.973,0.9891
"ENSG00000006757",0.0162,8.3466,0.9296,0.9714
"ENSG00000006788",3.2028,7.0742,0.0003635,0.002765
"ENSG00000006831",0.2422,10.3378,0.009364,0.0436
"ENSG00000006837",-0.7423,7.2042,0.1733,0.3905
"ENSG00000007047",0.0905,9.9392,0.3797,0.6263
"ENSG00000007080",0.2407,9.7195,0.03524,0.1232
"ENSG00000007168",0.107,11.7718,0.1632,0.3756
"ENSG00000007202",-0.0064,12.1211,0.9419,0.9757
"ENSG00000007237",-1.4047,8.94,1.376e-13,4.876e-12
"ENSG00000007255",0.259,8.2443,0.2249,0.4594
"ENSG00000007341",0.1254,8.3684,0.5008,0.7288
"ENSG00000007372",0.305,7.5107,0.3612,0.6082
"ENSG00000007376",0.1081,8.7661,0.4302,0.6732
"ENSG00000007384",0.0635,10.9835,0.5197,0.7425
"ENSG00000007392",-0.1734,9.7614,0.08941,0.2446
"ENSG00000007402",0.3443,7.3054,0.5059,0.7329
