"gene","TCGA-73-4670-01A","TCGA-50-5931-01A","TCGA-93-8067-01A","TCGA-L9-A5IP-01A","TCGA-50-5068-01A","TCGA-67-3771-01A","TCGA-97-A4M5-01A","TCGA-86-6562-01A","TCGA-44-5645-01A","TCGA-55-8207-01A","TCGA-86-8358-01A","TCGA-69-8254-01A","TCGA-78-7150-01A","TCGA-50-5946-01A","TCGA-05-4418-01A","TCGA-91-6836-11A","TCGA-44-3398-11B","TCGA-91-6835-11A","TCGA-55-6971-11A","TCGA-44-6144-11A","TCGA-50-5932-11A","TCGA-50-5939-11A","TCGA-50-5930-11A","TCGA-68-A59I-01A","TCGA-33-A5GW-01A","TCGA-21-1070-01A","TCGA-22-5489-01A","TCGA-98-8023-01A","TCGA-96-A4JK-01A","TCGA-56-1622-01A","TCGA-39-5030-01A","TCGA-56-7223-01A","TCGA-33-6737-01A","TCGA-77-A5G6-01A","TCGA-85-8481-01A","TCGA-60-2710-01A","TCGA-O2-A52V-01A","TCGA-77-A5GH-01A","TCGA-22-5491-11A","TCGA-77-7337-11A","TCGA-56-8309-11A","TCGA-43-6647-11A","TCGA-56-7580-11A","TCGA-56-7823-11A","TCGA-77-7335-11A"
"SAMD11",9.7815,9.6927,9.6291,9.5119,8.9837,8.9704,9.8078,8.6326,9.309,9.4077,8.8856,8.7965,10.2066,9.859,9.9059,8.4594,8.8435,9.2781,8.4772,8.7213,8.5469,8.7518,8.7661,9.9095,9.46,8.9582,8.6921,9.4699,9.3727,8.3307,9.0097,8.8447,9.8925,9.3625,9.9963,8.9289,9.6142,9.1883,8.7092,7.6885,8.7273,8.6092,8.2968,9.0386,8.0078
"NOC2L",12.5501,12.1375,12.0946,12.0606,10.2232,11.365,11.6768,11.0144,11.212,11.3697,11.6397,11.1371,11.8933,12.3488,11.9472,10.7615,10.8663,11.0231,10.6882,10.854,10.6712,10.7374,10.9454,12.099,12.0405,11.3651,11.4898,11.6856,11.9474,11.0797,11.5769,11.5381,12.4077,12.1176,12.3056,11.9026,12.2451,11.4908,10.8385,9.4177,10.7803,10.9882,10.1293,10.8266,9.8563
"KLHL17",8.8273,8.296,8.529,8.4901,8.0824,8.7629,8.6357,7.8014,7.8117,8.5686,8.1624,8.274,7.83,9.3171,9.1759,7.8265,7.4965,7.8799,8.0438,8.0128,7.512,7.3993,7.2016,8.2201,8.4101,8.5089,7.3603,8.6684,8.7245,7.5051,7.8681,8.0294,8.5823,8.0733,9.5353,7.9557,8.8839,8.3935,7.6609,7.3013,8.1792,7.2284,7.7763,7.9435,6.7
"PLEKHN1",8.805,6.8792,8.9016,8.8424,7.2982,7.2127,8.7878,8.3404,6.5498,8.2148,6.3864,8.1342,7.6035,8.5808,8.6617,6.6796,6.7701,7.2566,6.8017,6.6308,6.6017,6.1974,6.7455,7.7083,9.0196,8.8174,7.6116,7.8569,8.4234,7.2246,7.5891,6.6856,7.7077,7.2048,9.2451,8.5261,8.6057,7.5547,6.5167,6.4948,6.9237,6.6071,6.89,6.7816,6.1661
"PERM1",7.6655,6.5337,7.9569,7.5762,7.4323,6.608,7.5069,7.5509,6.2159,7.1785,6.0675,7.1446,6.8099,7.486,7.5529,6.3874,6.3004,6.7401,6.3393,6.3665,6.2541,6.1974,6.5524,7.0316,8.2044,7.8584,6.9405,7.0181,7.4335,6.8936,6.6964,6.4257,6.9684,6.717,8.2051,7.4174,8.2757,6.6738,6.4391,6.2534,6.5135,6.2709,6.4874,6.3357,5.9518
"HES4",10.2339,7.6452,8.0239,8.9092,9.1815,6.7278,8.3595,7.6165,7.1417,7.6832,7.2183,7.18,7.5808,8.8024,8.838,7.0373,7.8211,8.2652,7.6766,7.724,7.3799,7.7044,7.5152,7.8097,8.0703,8.2048,7.3289,8.2368,9.2558,8.2958,7.2043,6.7907,8.7813,8.3399,8.8154,8.0227,7.5514,7.5467,7.219,6.7292,7.7024,7.4143,6.7367,7.8658,6.4022
"ISG15",12.0907,9.313,11.685,11.2761,13.264,10.5959,12.0101,11.6966,8.0135,10.2159,8.8805,10.3426,11.4764,11.9571,13.9998,9.8293,10.1707,9.4435,9.5022,10.3782,9.975,9.8566,9.9478,11.3241,9.9409,11.7841,12.6344,11.0291,10.3387,12.7677,11.8283,8.8773,9.4694,8.6374,13.9028,10.7323,10.5383,12.1405,10.5793,9.3522,11.5059,9.8831,9.4094,10.5794,11.1372
"AGRN",14.6752,13.3023,14.9387,15.3397,11.1823,12.7083,14.3158,14.2316,13.3081,13.4428,10.3731,13.9087,13.4407,15.4129,13.8138,12.7802,13.578,13.9263,13.3176,13.3788,13.4536,13.6312,13.1509,13.2628,14.3058,13.9742,14.293,14.5238,13.9586,13.4777,14.2027,12.3394,12.8501,13.3644,16.1099,14.9059,15.0975,15.1678,13.3999,12.2938,13.5892,13.6717,13.1564,13.7405,11.5171
"RNF223",9.508,6.4558,7.4517,8.3754,7.3825,6.8893,7.1624,7.3028,6.7555,6.6942,6.0244,7.18,7.9387,6.8323,7.6343,6.6605,6.8594,7.1141,6.8017,6.8473,6.9441,6.7383,7.1892,7.5392,7.2986,7.2452,6.0189,6.2766,6.9304,6.7599,6.0887,6.4032,7.3285,6.2225,7.9239,7.0152,7.4882,6.0019,6.787,6.7628,6.6539,6.8273,6.4411,6.646,6.4022
"C1orf159",9.6263,9.5121,9.2138,9.1681,8.4472,7.9925,9.3797,8.432,8.3439,8.681,8.5801,8.3782,8.6694,9.2837,9.1269,8.2131,8.2848,8.4597,8.7223,8.4031,8.1033,7.8932,8.1779,9.3086,9.3662,8.8617,8.5574,9.4997,9.3521,8.3564,9.1623,8.1748,8.9223,9.4052,9.5882,9.0058,9.1306,9.224,7.994,8.0796,8.7004,8.2582,8.3497,8.4262,7.4354
