"pert_id","drug","dose","time","cell_line","moa"
"PERT0001","(-)-JQ1",0.04,"24H","MCF7","unknown"
"PERT0002","(+)-JQ1",0.04,"24H","MCF7","unknown"
"PERT0003","11k-629s",10,"24H","MCF7","unknown"
"PERT0004","12k-516s",10,"24H","MCF7","unknown"
"PERT0005","12k-613s",10,"24H","MCF7","unknown"
"PERT0006","1391-0741",10,"24H","MCF7","unknown"
"PERT0007","15-delta prostaglandin j2",10,"6H","MCF7","unknown"
"PERT0008","15-deoxy-?12,14-prostaglandin j2",10,"24H","MCF7","unknown"
"PERT0009","16-hydroxytriptolide",0.08,"24H","MCF7","unknown"
"PERT0010","16beta-bromoandrosterone",11.1,"6H","MCF7","unknown"
"PERT0011","19-norethindrone",10,"24H","MCF7","unknown"
"PERT0012","2-bromo-n-[3-(butyrylamino)phenyl]benzamide",10,"24H","MCF7","unknown"
"PERT0013","2-fluoropalmitic acid",44.4,"24H","MCF7","unknown"
"PERT0014","4-aminosalicylic acid",10,"6H","MCF7","unknown"
"PERT0015","4-demethoxydaunorubicin hydrochloride (65)",0.08,"24H","MCF7","unknown"
"PERT0016","5-azacytidine",10,"24H","MCF7","unknown"
"PERT0017","5-fluorouracil",10,"24H","MCF7","unknown"
"PERT0018","5-nonyloxytryptamine",10,"6H","MCF7","unknown"
"PERT0019","6-azauridine",10,"24H","MCF7","unknown"
"PERT0020","6-diazo-5-oxo-l-norleucine",40,"24H","MCF7","unknown"
"PERT0021","7-nitroindazole",80,"24H","MCF7","unknown"
"PERT0022","7b-cis",10,"24H","MCF7","unknown"
"PERT0023","8-{[2-oxo-2-(1-pyrrolidinyl)ethyl]thio}quinoline",10,"6H","MCF7","unknown"
"PERT0024","a-1065",10,"24H","MCF7","unknown"
"PERT0025","a-275",10,"6H","MCF7","unknown"
"PERT0026","a112550.cdx",11.1,"24H","MCF7","unknown"
"PERT0027","a2478",10,"24H","MCF7","unknown"
"PERT0028","a3145",10,"6H","MCF7","unknown"
"PERT0029","A443654",0.12,"24H","MCF7","unknown"
"PERT0030","A66",0.37,"24H","MCF7","unknown"
"PERT0031","a8674",10,"24H","MCF7","unknown"
"PERT0032","ABT-737",10,"24H","MCF7","unknown"
"PERT0033","abt-751",10,"24H","MCF7","unknown"
"PERT0034","abt-888 (veliparib)",10,"6H","MCF7","unknown"
"PERT0035","acamprosate calcium",10,"24H","MCF7","unknown"
"PERT0036","acetopromazine maleate salt",10,"6H","MCF7","unknown"
"PERT0037","acitretin",10,"24H","MCF7","unknown"
"PERT0038","acyclovir",10,"24H","MCF7","unknown"
"PERT0039","adenosine 5'-monophosphate monohydrate",10,"6H","MCF7","unknown"
"PERT0040","afatinib",10,"24H","MCF7","unknown"
"PERT0041","ag 494",10,"24H","MCF7","unknown"
"PERT0042","ag 556",10,"24H","MCF7","unknown"
"PERT0043","ag 592",10,"24H","MCF7","unknown"
"PERT0044","ag 9",10,"6H","MCF7","unknown"
"PERT0045","ag 957",10,"6H","MCF7","unknown"
"PERT0046","ag-879",10,"24H","MCF7","unknown"
"PERT0047","ag14361",25,"24H","MCF7","unknown"
"PERT0048","AGK-2",0.04,"24H","MCF7","unknown"
"PERT0049","akt inhibitor iv",10,"24H","MCF7","unknown"
"PERT0050","akt inhibitor x",24,"24H","MCF7","unknown"
"PERT0051","AKT-inhibitor-1-2",10,"24H","MCF7","unknown"
"PERT0052","akti-1/2",9.1,"24H","MCF7","unknown"
"PERT0053","ala-ala-phe-cmk",10,"6H","MCF7","unknown"
"PERT0054","alaproclate",10,"6H","MCF7","unknown"
"PERT0055","albendazole",10,"24H","MCF7","unknown"
"PERT0056","alclometazone dipropionate",10,"6H","MCF7","unknown"
"PERT0057","alfacalcidol",10,"24H","MCF7","unknown"
"PERT0058","alfaxalone",10,"6H","MCF7","unknown"
"PERT0059","alfuzosin hydrochloride",10,"6H","MCF7","unknown"
"PERT0060","aliskiren hemifumarate",10,"6H","MCF7","unknown"
"PERT0061","aloisine",10,"24H","MCF7","unknown"
"PERT0062","aloisine a",10,"24H","MCF7","unknown"
"PERT0063","alprenolol hydrochloride",10,"6H","MCF7","unknown"
"PERT0064","alprostadil",10,"6H","MCF7","unknown"
"PERT0065","altanserin hydrochloride",10,"6H","MCF7","unknown"
"PERT0066","altrenogest",10,"24H","MCF7","unknown"
"PERT0067","altretamine",10,"24H","MCF7","unknown"
"PERT0068","alvocidib",0.04,"24H","MCF7","unknown"
"PERT0069","ALW-II-38-3",0.37,"24H","MCF7","unknown"
"PERT0070","ALW-II-49-7",10,"24H","MCF7","unknown"
