"pert_id","drug","dose","time","cell_line","moa"
"PERT0001","drug-004",0.37,"6 h","PC3","HDAC inhibitor"
"PERT0002","drug-007",1.11,"24 h","MCF7","HSP90 inhibitor"
"PERT0003","drug-016",3.33,"24 h","VCAP","MEK inhibitor"
"PERT0004","drug-020",0.12,"6 h","MCF7","EGFR inhibitor"
"PERT0005","drug-003",10,"24 h","PC3","HSP90 inhibitor"
"PERT0006","drug-025",0.12,"6 h","PC3","calcium channel blocker"
"PERT0007","drug-034",3.33,"6 h","MCF7","unknown"
"PERT0008","drug-025",0.37,"6 h","A375","calcium channel blocker"
"PERT0009","drug-026",0.12,"6 h","VCAP","CDK inhibitor"
"PERT0010","drug-003",0.37,"24 h","MCF7","HSP90 inhibitor"
"PERT0011","drug-025",0.12,"24 h","A375","calcium channel blocker"
"PERT0012","drug-001",3.33,"24 h","VCAP","proteasome inhibitor"
"PERT0013","drug-006",0.12,"24 h","HA1E","HSP90 inhibitor"
"PERT0014","drug-020",0.12,"24 h","PC3","EGFR inhibitor"
"PERT0015","drug-009",3.33,"24 h","HA1E","MEK inhibitor"
"PERT0016","drug-015",0.37,"24 h","HA1E","MEK inhibitor"
"PERT0017","drug-013",1.11,"6 h","HA1E","glucocorticoid receptor agonist"
"PERT0018","drug-016",1.11,"6 h","PC3","MEK inhibitor"
"PERT0019","drug-034",3.33,"6 h","A375","unknown"
"PERT0020","drug-005",0.12,"24 h","HA1E","HSP90 inhibitor"
"PERT0021","drug-016",3.33,"6 h","A375","MEK inhibitor"
"PERT0022","drug-006",0.12,"6 h","MCF7","HSP90 inhibitor"
"PERT0023","drug-003",1.11,"6 h","MCF7","HSP90 inhibitor"
"PERT0024","drug-025",10,"24 h","VCAP","calcium channel blocker"
"PERT0025","drug-033",10,"24 h","PC3","unknown"
"PERT0026","drug-011",0.12,"6 h","VCAP","glucocorticoid receptor agonist"
"PERT0027","drug-019",0.12,"24 h","VCAP","EGFR inhibitor"
"PERT0028","drug-030",0.12,"6 h","PC3","unknown"
"PERT0029","drug-025",0.12,"24 h","VCAP","calcium channel blocker"
"PERT0030","drug-009",10,"24 h","HA1E","MEK inhibitor"
"PERT0031","drug-003",3.33,"6 h","MCF7","HSP90 inhibitor"
"PERT0032","drug-029",0.37,"6 h","MCF7","unknown"
"PERT0033","drug-020",3.33,"24 h","VCAP","EGFR inhibitor"
"PERT0034","drug-014",3.33,"6 h","MCF7","MEK inhibitor"
"PERT0035","drug-016",10,"6 h","A375","MEK inhibitor"
"PERT0036","drug-036",0.37,"24 h","VCAP","EGFR inhibitor"
"PERT0037","drug-017",1.11,"24 h","PC3","EGFR inhibitor"
"PERT0038","drug-008",1.11,"24 h","A375","proteasome inhibitor"
"PERT0039","drug-009",1.11,"6 h","A375","MEK inhibitor"
"PERT0040","drug-020",10,"24 h","PC3","EGFR inhibitor"
"PERT0041","drug-018",0.37,"6 h","HA1E","unknown"
"PERT0042","drug-034",1.11,"6 h","PC3","unknown"
"PERT0043","drug-019",0.37,"6 h","PC3","EGFR inhibitor"
"PERT0044","drug-012",0.12,"24 h","VCAP","mTOR inhibitor"
"PERT0045","drug-017",10,"24 h","PC3","EGFR inhibitor"
"PERT0046","drug-002",3.33,"24 h","HA1E","HSP90 inhibitor"
"PERT0047","drug-016",0.37,"24 h","MCF7","MEK inhibitor"
"PERT0048","drug-006",0.37,"6 h","VCAP","HSP90 inhibitor"
"PERT0049","drug-004",1.11,"24 h","PC3","HDAC inhibitor"
"PERT0050","drug-031",10,"6 h","VCAP","unknown"
"PERT0051","drug-027",3.33,"24 h","MCF7","EGFR inhibitor"
"PERT0052","drug-015",0.37,"24 h","A375","MEK inhibitor"
"PERT0053","drug-013",0.12,"24 h","PC3","glucocorticoid receptor agonist"
"PERT0054","drug-032",1.11,"24 h","VCAP","unknown"
"PERT0055","drug-039",1.11,"24 h","PC3","calcium channel blocker"
"PERT0056","drug-035",3.33,"24 h","MCF7","calcium channel blocker"
"PERT0057","drug-004",0.37,"24 h","PC3","HDAC inhibitor"
"PERT0058","drug-039",0.12,"24 h","MCF7","calcium channel blocker"
"PERT0059","drug-030",1.11,"6 h","PC3","unknown"
"PERT0060","drug-014",0.37,"6 h","VCAP","MEK inhibitor"
"PERT0061","drug-011",0.12,"6 h","A375","glucocorticoid receptor agonist"
"PERT0062","drug-009",1.11,"24 h","A375","MEK inhibitor"
"PERT0063","drug-021",0.37,"24 h","VCAP","unknown"
"PERT0064","drug-002",3.33,"24 h","PC3","HSP90 inhibitor"
"PERT0065","drug-040",10,"24 h","VCAP","calcium channel blocker"
"PERT0066","drug-010",3.33,"24 h","MCF7","mTOR inhibitor"
"PERT0067","drug-019",1.11,"6 h","PC3","EGFR inhibitor"
"PERT0068","drug-026",3.33,"6 h","VCAP","CDK inhibitor"
"PERT0069","drug-034",0.37,"24 h","MCF7","unknown"
"PERT0070","drug-002",3.33,"24 h","PC3","HSP90 inhibitor"
"PERT0071","drug-027",0.12,"6 h","A375","EGFR inhibitor"
"PERT0072","drug-021",3.33,"24 h","MCF7","unknown"
"PERT0073","drug-030",1.11,"6 h","HA1E","unknown"
"PERT0074","drug-033",1.11,"6 h","A375","unknown"
"PERT0075","drug-002",1.11,"24 h","A375","HSP90 inhibitor"
"PERT0076","drug-035",0.12,"24 h","A375","calcium channel blocker"
"PERT0077","drug-037",1.11,"6 h","PC3","unknown"
"PERT0078","drug-037",1.11,"24 h","MCF7","unknown"
"PERT0079","drug-028",0.37,"6 h","VCAP","CDK inhibitor"
"PERT0080","drug-021",3.33,"24 h","MCF7","unknown"
"PERT0081","drug-034",0.12,"6 h","MCF7","unknown"
"PERT0082","drug-021",10,"24 h","MCF7","unknown"
"PERT0083","drug-036",3.33,"24 h","A375","EGFR inhibitor"
"PERT0084","drug-016",10,"24 h","A375","MEK inhibitor"
"PERT0085","drug-031",1.11,"6 h","PC3","unknown"
"PERT0086","drug-022",0.12,"6 h","VCAP","CDK inhibitor"
"PERT0087","drug-021",10,"6 h","A375","unknown"
"PERT0088","drug-018",1.11,"24 h","HA1E","unknown"
"PERT0089","drug-002",0.37,"6 h","A375","HSP90 inhibitor"
"PERT0090","drug-013",1.11,"24 h","VCAP","glucocorticoid receptor agonist"
"PERT0091","drug-010",10,"24 h","A375","mTOR inhibitor"
"PERT0092","drug-001",0.37,"24 h","PC3","proteasome inhibitor"
"PERT0093","drug-033",3.33,"6 h","HA1E","unknown"
"PERT0094","drug-001",0.37,"6 h","VCAP","proteasome inhibitor"
"PERT0095","drug-040",0.12,"24 h","PC3","calcium channel blocker"
"PERT0096","drug-008",0.37,"6 h","A375","proteasome inhibitor"
"PERT0097","drug-016",3.33,"24 h","A375","MEK inhibitor"
"PERT0098","drug-005",0.37,"6 h","PC3","HSP90 inhibitor"
"PERT0099","drug-005",3.33,"6 h","HA1E","HSP90 inhibitor"
"PERT0100","drug-011",1.11,"24 h","PC3","glucocorticoid receptor agonist"
"PERT0101","drug-039",10,"6 h","VCAP","calcium channel blocker"
"PERT0102","drug-001",0.12,"6 h","A375","proteasome inhibitor"
"PERT0103","drug-003",10,"6 h","A375","HSP90 inhibitor"
"PERT0104","drug-014",0.37,"24 h","MCF7","MEK inhibitor"
"PERT0105","drug-024",0.12,"24 h","HA1E","calcium channel blocker"
"PERT0106","drug-024",0.37,"24 h","VCAP","calcium channel blocker"
"PERT0107","drug-009",3.33,"6 h","VCAP","MEK inhibitor"
"PERT0108","drug-028",1.11,"6 h","PC3","CDK inhibitor"
"PERT0109","drug-029",10,"24 h","VCAP","unknown"
