"gene","direction"
"COL11A1","up"
"NEK2","up"
"MMP11","up"
"IQGAP3","up"
"COL10A1","up"
"INHBA","up"
"TOP2A","up"
"KIF20A","up"
"CKAP2L","up"
"CENPF","up"
"NUF2","up"
"KNL1","up"
"ASPM","up"
"TROAP","up"
"UBE2C","up"
"MELK","up"
"KIF4A","up"
"PRC1","up"
"CEP55","up"
"KIF18B","up"
"NUSAP1","up"
"BUB1B","up"
"BUB1","up"
"ANLN","up"
"HJURP","up"
"DLGAP5","up"
"TPX2","up"
"KIF14","up"
"CIT","up"
"PCLAF","up"
"CTD-2116N17.1","up"
"KIF23","up"
"HSD17B6","up"
"SPC25","up"
"CDC25C","up"
"SPAG5","up"
"GTSE1","up"
"CCNB1","up"
"KIF11","up"
"SKA1","up"
"PBK","up"
"CCNB2","up"
"SLC20A1","up"
"KIF2C","up"
"PLK1","up"
"CENPE","up"
"KIFC1","up"
"PTTG1","up"
"CDCA8","up"
"CDK1","up"
"MKI67","up"
"NCAPH","up"
"MMP1","up"
"NDC80","up"
"NUAK2","up"
"KIF24","up"
"WDR62","up"
"SGO1","up"
"FOXM1","up"
"CDC20","up"
"ERCC6L","up"
"GINS1","up"
"DEPDC1","up"
"CDCA3","up"
"LMNB1","up"
"DEPDC1B","up"
"SKA3","up"
"ARHGAP11A","up"
"PKMYT1","up"
"HMMR","up"
"DTL","up"
"AIM1L","up"
"EZH2","up"
"ESPL1","up"
"E2F7","up"
"LYVE1","down"
"LRRC3B","down"
"SCARA5","down"
"PAMR1","down"
"PI16","down"
"VEGFD","down"
"RCAN1","down"
"BBS2","down"
"HOXA9","down"
"MATN2","down"
"FGF2","down"
"NDRG2","down"
"CLEC3B","down"
"FXYD1","down"
"NUDT7","down"
"SYNM","down"
"FAM3D","down"
"FAM13A","down"
"GSN","down"
"MYOC","down"
"SPRY2","down"
"ITPRIPL1","down"
"TNXB","down"
"PPP1R14A","down"
"F10","down"
"ITM2A","down"
"IL11RA","down"
"IGFBP6","down"
"NRG2","down"
"HOXA10-HOXA9","down"
"HBA2","down"
"TCEAL7","down"
"HBB","down"
"B3GAT1","down"
"ACVR1C","down"
"TSLP","down"
"HBA1","down"
"EGFR","down"
"B3GALT1","down"
"CNN1","down"
"HAS3","down"
"INPP1","down"
"OXTR","down"
"FHL1","down"
"CAV1","down"
"SLC2A4","down"
"FAM107A","down"
"ADAMTS5","down"
"ALDH1L1","down"
"NKAPL","down"
"CAT","down"
"ENPP2","down"
"NR3C2","down"
"RSPO3","down"
"HOXA5","down"
"GPX3","down"
"FAM13C","down"
"METTL7A","down"
"PROS1","down"
"TESC","down"
"SRPX","down"
"RP5-972B16.2","down"
"MOCS1","down"
"KL","down"
"ARHGAP36","down"
"PPP1R1A","down"
"MYH11","down"
"PI3","down"
"GABARAPL1","down"
"PLPP3","down"
"LVRN","down"
"CMTM5","down"
"NPR1","down"
"ATOH8","down"
"GPRC5B","down"
