"gene","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003",9.7534,9.4442,9.8781,9.6579,10.1918,9.8908,10.0199,9.6518
"ENSG00000000419",9.3482,9.5943,9.4994,9.5361,9.441,9.5874,9.3406,9.5223
"ENSG00000000457",8.7855,8.7194,8.6729,8.753,8.615,8.7236,8.7821,8.7447
"ENSG00000000460",7.7816,7.805,7.5381,7.7253,7.8446,7.6568,7.9668,7.8227
"ENSG00000000971",11.7252,12.0754,12.4114,12.6789,12.5309,12.9825,12.5098,13.0828
"ENSG00000001036",10.6491,10.4408,10.7103,10.5702,10.4657,10.2671,10.716,10.4292
"ENSG00000001084",9.4591,9.273,9.4537,9.8713,9.8083,9.4661,9.9023,9.8862
"ENSG00000001167",9.1755,8.8176,9.1973,8.8102,9.5636,9.257,9.1911,8.8882
"ENSG00000001460",8.4448,8.5305,8.6762,8.4811,8.6014,8.36,8.4462,8.5301
"ENSG00000001461",11.1492,11.162,12.1566,12.0278,11.3054,11.0862,11.496,11.6817
"ENSG00000001497",9.4693,9.5357,9.5285,9.5122,9.593,9.597,9.5174,9.4505
"ENSG00000001561",7.8693,7.767,8.4934,8.7098,7.3476,7.4555,8.3373,8.5074
"ENSG00000001617",9.531,9.3101,9.9196,9.6768,9.6731,9.4405,9.7667,9.7031
"ENSG00000001626",7.1697,6.9431,7.1194,6.9757,7.1405,7.0234,7.0595,7.0554
"ENSG00000001629",10.8364,10.6455,11.0518,10.8274,11.1665,10.9688,11.141,10.94
"ENSG00000001630",7.7732,7.7956,7.7586,7.5429,7.8845,7.8117,7.5353,7.814
"ENSG00000001631",9.834,9.9271,9.9674,9.8288,10.0774,10.013,9.9592,9.9501
"ENSG00000002016",8.5677,8.4968,8.6502,8.3484,8.6903,8.5143,8.4707,8.3349
"ENSG00000002330",8.5877,8.5586,8.3885,8.4339,8.4296,8.5235,8.4511,8.5301
"ENSG00000002549",10.6718,10.6883,10.3673,10.7277,10.489,10.5595,10.1412,10.3395
"ENSG00000002586",12.8813,13.0101,13.0131,13.2116,13.2182,13.1993,12.8981,12.9404
"ENSG00000002745",7.0103,7.0952,7.3339,7.2714,6.9165,6.8526,7.0595,6.9832
"ENSG00000002746",8.3472,8.3843,8.0778,8.0639,7.9227,7.8965,8.0405,8.2351
"ENSG00000002822",9.2178,9.0489,9.1579,8.908,9.1572,9.1466,8.9976,8.9894
"ENSG00000002834",12.6392,12.8363,12.742,13.1166,12.5218,13.0979,12.6602,13.0526
"ENSG00000002919",8.6941,8.8548,8.7808,8.9814,8.5167,8.8357,8.5819,8.8745
"ENSG00000002933",10.4819,10.884,9.5251,9.719,7.3733,7.344,7.9198,8.1756
"ENSG00000003056",10.4159,10.3,10.319,10.2739,10.342,10.3617,10.2798,10.1736
"ENSG00000003096",9.5212,9.0864,9.3842,8.7897,9.3125,8.5948,9.4999,8.7256
"ENSG00000003137",8.2083,7.8234,8.6502,8.0446,7.4332,7.5177,8.6255,7.8896
"ENSG00000003249",7.9425,7.9432,8.4784,8.1985,8.035,7.9491,8.4511,8.2861
"ENSG00000003393",9.8952,9.978,9.7658,9.9768,10.1673,10.325,10.0169,10.1261
"ENSG00000003400",8.0557,7.8415,8.1603,8.1288,7.6976,7.5509,8.1093,7.8815
"ENSG00000003402",10.6411,11.6118,10.7169,11.8681,11.101,11.9386,10.6223,12.0334
"ENSG00000003436",12.1301,12.2522,12.3228,12.2967,12.6545,11.8804,11.9509,11.8719
"ENSG00000003509",8.8739,8.974,8.9443,8.8891,9.0192,8.8826,8.8484,8.8149
"ENSG00000003756",11.3002,11.0757,11.2833,11.0956,11.2621,10.9719,11.2142,11.2306
"ENSG00000003987",7.3005,7.465,7.3728,7.6393,7.3068,7.5669,7.2366,7.4738
"ENSG00000003989",7.6655,7.8142,7.1786,7.0297,7.6395,7.8965,7.3479,7.6924
"ENSG00000004059",10.3093,10.7,10.192,10.4761,10.385,10.6667,10.3672,10.6725
"ENSG00000004139",7.9771,8.0354,7.9999,7.9205,8.068,7.8802,8.0116,7.9596
"ENSG00000004142",10.7036,10.9152,10.6148,10.6837,10.7276,10.8545,10.4873,10.5843
"ENSG00000004399",12.0338,12.2774,11.6904,11.3825,12.2243,12.1336,11.6262,11.6363
"ENSG00000004455",10.4345,10.4967,10.5159,10.398,10.5279,10.8393,10.354,10.2026
"ENSG00000004478",9.4239,9.4746,9.3728,9.2618,9.4854,9.3815,9.2977,9.2511
"ENSG00000004487",10.6286,10.3531,10.5218,10.3322,10.6939,10.4075,10.6233,10.3443
"ENSG00000004534",10.4294,10.3849,10.7971,10.6233,10.7035,10.4819,10.5284,10.318
"ENSG00000004660",8.0366,7.805,7.7048,7.7253,7.9038,7.7631,8.4412,7.8815
"ENSG00000004700",10.1307,10.4798,10.2458,10.3964,9.9766,10.2781,10.0826,10.5188
"ENSG00000004766",9.4027,9.3588,9.3633,9.4506,9.4837,9.4098,9.3846,9.3315
"ENSG00000004776",11.8148,11.8315,11.3226,11.3597,10.949,10.828,11.9973,11.7927
"ENSG00000004777",8.2459,8.2296,8.1652,7.9741,7.929,7.7441,8.205,7.9135
"ENSG00000004779",9.0006,9.1466,9.2604,9.1759,9.0935,9.236,8.9944,9.0658
"ENSG00000004799",7.9425,10.0702,8.1453,10.8592,8.5808,9.073,9.7848,11.8073
"ENSG00000004838",7.2109,7.2219,7.3339,7.2153,7.1789,7.2334,7.3309,7.0859
"ENSG00000004846",7.3914,6.9899,7.7879,7.2973,7.0978,7.0881,7.4116,7.0554
"ENSG00000004864",8.3077,8.2599,8.1503,8.264,8.5527,8.5948,8.4007,8.2916
"ENSG00000004866",9.3076,8.9017,9.7384,9.1088,9.3282,9.1064,9.3003,8.9768
"ENSG00000004897",10.7478,10.7317,10.7081,10.8603,10.7556,10.7811,10.6963,10.7278
"ENSG00000004961",9.3007,9.1318,9.3344,9.2833,9.5767,9.2914,9.1911,9.2844
"ENSG00000004975",10.5887,10.3691,10.1151,9.9239,10.2927,9.9061,10.3576,10.094
"ENSG00000005007",11.1775,11.4186,11.1505,11.2726,11.1004,11.33,11.1929,11.477
"ENSG00000005020",9.988,10.0687,9.6529,10.0109,9.5285,9.6252,10.0184,10.1802
"ENSG00000005022",10.5646,10.4373,10.3729,10.4266,10.3477,10.2764,10.2346,10.2702
"ENSG00000005059",8.6229,8.661,8.6271,8.8203,8.4257,8.3387,8.6962,8.771
"ENSG00000005075",9.9366,10.1381,10.0478,9.9528,10.0142,10.1123,9.8722,9.8497
"ENSG00000005100",9.2729,9.4371,9.2459,9.5092,9.3184,9.4375,9.2428,9.7561
"ENSG00000005108",7.1475,7.124,7.0491,7.2153,7.1197,7.2601,7.2366,7.2881
"ENSG00000005156",8.6757,8.4055,8.6035,8.3031,8.9194,8.9122,8.573,8.2749
"ENSG00000005175",9.0514,9.0201,8.5864,8.5138,9.3005,8.9992,9.1489,8.9831
"ENSG00000005187",7.0103,7.0952,7.1786,7.2714,7.1197,7.1071,7.2366,7.0859
"ENSG00000005189",7.9495,7.8679,7.9093,7.9947,7.9352,7.5827,8.0892,7.9135
"ENSG00000005194",9.2226,9.3512,9.3842,9.4971,9.3477,9.4222,9.1772,9.3412
"ENSG00000005206",9.7551,9.7374,9.7208,9.6848,9.7048,9.893,9.7013,9.7632
"ENSG00000005238",9.9482,9.8138,9.8475,9.625,10.025,9.7882,9.7259,9.7435
"ENSG00000005243",10.3555,10.2754,10.3812,10.3786,10.0261,9.9352,10.3791,10.2272
