"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-E2-A1IU-01A","TCGA-A7-A26I-01B","TCGA-A8-A07S-01A","TCGA-A1-A0SK-01A","TCGA-AC-A6IV-01A","TCGA-AR-A2LN-01A","TCGA-A7-A26I-01A","TCGA-AO-A0JM-01A","TCGA-EW-A1J3-01A","TCGA-E2-A14N-01A","TCGA-E9-A54X-01A","TCGA-E2-A15L-01A","TCGA-BH-A28Q-01A","TCGA-A2-A0D0-01A","TCGA-B6-A0I5-01A","TCGA-A2-A0YL-01A","TCGA-AC-A3QQ-01B","TCGA-A2-A0D4-01A","TCGA-A8-A07I-01A","TCGA-A1-A0SH-01A"
"SAMD11",7.9727,8.3609,9.8593,8.5038,8.256,8.79,7.7796,9.7187,8.0331,8.2089,8.0415,7.8377,7.8333,8.8144,8.1797,7.6516,8.0076,7.9057,8.1606,8.261,8.2416,7.9329,7.8578,10.6454,8.4795,8.8632,8.3968,11.4356,8.9508,11.0416,10.1797,9.5478,8.7363,11.3905,11.211,8.3896,7.1822,10.0233,8.9744,8.5759
"NOC2L",10.8197,11.2318,11.7239,10.8074,10.8961,11.7435,10.7018,11.9264,10.7254,10.988,11.1508,10.4411,10.5906,10.6792,10.4359,10.5718,10.5898,10.6388,10.3065,10.4166,11.1204,10.5853,10.9443,12.6415,10.6063,10.9421,11.2745,11.7634,10.6606,12.8708,12.0104,11.4071,11.1709,13.2786,12.6951,10.9562,8.5195,12.4277,11.8849,10.6116
"KLHL17",7.4763,7.3335,8.0576,7.5299,7.2578,6.8556,7.8018,7.5872,7.1956,7.2853,7.5053,7.4044,7.1616,6.7118,7.2074,6.6775,6.7146,7.2849,6.9417,7.5919,7.5068,7.8242,7.278,8.6895,8.677,8.0848,7.0148,7.5721,7.7664,8.8944,8.1173,7.7135,7.8339,8.4747,7.4928,7.5337,6.8592,7.9144,7.9756,6.8641
"PLEKHN1",7.1175,7.0277,8.2527,7.3219,6.8913,8.0021,7.3287,8.2766,7.0662,6.962,6.9536,6.7412,6.6417,5.3445,6.6294,6.4989,6.2192,6.7966,6.2657,6.9349,7.2918,7.5386,6.9664,5.8625,6.8616,7.276,7.4079,7.9759,7.2857,8.1899,7.8841,7.4025,7.3273,8.0009,8.4415,7.5723,6.2671,7.2265,7.7172,7.0025
"PERM1",6.6106,6.82,7.7668,6.4887,6.3257,13.0122,6.8395,7.301,6.2703,6.304,6.0562,6.1793,5.9035,5.3445,6.1301,6.0742,5.7657,6.4347,5.7447,6.3939,6.6016,6.7904,6.1412,5.5118,6.2744,6.7086,6.3588,7.3464,6.9682,8.0733,7.3777,6.586,6.3963,7.474,8.0883,6.6677,6.6305,6.8542,7.0511,6.4532
"HES4",7.4625,7.3254,8.8442,6.9761,7.6484,6.7219,8.1066,7.8356,7.3135,7.3257,7.4131,6.8865,6.3144,6.6478,7.2252,6.4382,6.3889,6.7473,6.7136,6.8345,7.13,6.3831,6.4776,6.1986,7.9302,7.5762,7.0906,8.9462,6.819,8.1076,8.089,7.1506,6.8518,7.4375,8.1761,7.5272,5.328,7.758,8.2893,7.0156
"ISG15",9.0261,8.447,9.4859,8.4474,7.8005,8.1327,7.7852,8.7414,9.0145,9.9336,7.8977,7.1703,7.9096,9.4355,9.0437,6.7276,8.0699,7.1627,8.2891,8.919,10.2553,9.7122,11.1318,7.1789,11.1337,9.7502,11.2673,12.8779,9.5268,12.8741,9.79,8.2362,8.4572,12.6915,10.1416,10.1688,6.3494,10.2764,13.2813,8.8311
"AGRN",13.2216,12.5524,13.4777,12.5944,13.0248,10.2696,12.9602,13.8236,12.7353,12.5241,12.2324,12.6338,11.8108,10.5652,12.474,12.2212,11.1146,12.5971,11.7073,12.1754,12.2615,12.4659,11.6873,12.5568,12.8279,12.8634,12.7651,13.4292,12.494,12.4637,13.5126,12.5543,12.8154,13.7779,12.9663,12.9178,10.3818,13.1069,14.0639,12.7951
"RNF223",6.1053,6.7086,8.3189,6.3594,6.3761,4.7831,6.3023,7.8638,5.8976,6.6021,6.3475,5.8439,6.2592,4.7831,6.5421,6.1965,5.9313,6.5868,5.4104,6.1947,6.8259,5.978,6.9774,6.0204,6.6239,6.8319,6.0814,7.4064,6.7602,6.1779,7.577,5.8079,6.7465,6.5307,8.5008,6.8754,5.7161,9.7842,7.4324,5.9476
"C1orf159",8.231,8.4793,9.4841,8.2222,8.2194,7.0053,8.5083,8.8232,8.2633,8.2174,8.4056,8.2048,7.8774,7.2626,7.9206,7.7975,7.4794,8.0426,7.9206,8.0868,8.2974,9.1573,7.5877,9.5229,8.7014,8.6051,8.4172,8.0984,8.7766,9.6564,9.3887,8.2052,8.4986,9.7456,8.608,8.4856,7.9931,9.4872,8.9133,7.8802
"TTLL10",5.7338,6.0747,5.9397,6.3421,5.7434,5.8056,6.0037,5.8854,5.9493,6.0875,6.1477,5.9451,5.9035,6.7426,6.3094,5.6781,6.0722,5.9561,6.5105,5.975,5.3447,7.1251,5.3642,5.7398,5.6919,6.0288,5.6204,5.0521,5.1819,5.3482,5.9919,5.2344,5.3987,5.6302,5.4528,5.2784,4.7831,6.0437,5.4327,4.7831
"TNFRSF18",6.4553,6.5127,8.2009,6.4577,6.3761,5.2078,6.3023,6.7982,6.9228,6.5881,6.232,6.0366,5.8486,6.2178,5.8582,6.1166,6.5541,6.385,5.9506,6.5198,8.0272,6.4306,7.4645,7.4845,7.8499,7.6801,6.5502,8.3375,6.9682,6.3181,7.3697,8.7172,8.1363,9.9559,10.2138,7.7672,5.328,9.0855,6.879,6.098
"TNFRSF4",6.1053,6.5574,7.2421,6.5629,6.471,7.2142,6.1926,6.9041,6.7739,6.5881,6.5332,6.2707,5.9555,7.1449,6.917,5.83,5.9611,6.2409,6.6659,6.9023,6.4568,6.5626,6.0013,6.7046,7.8771,6.7594,6.8983,7.5113,6.3536,6.6751,5.9668,6.4937,6.3465,6.6374,6.7613,6.6295,5.5492,7.0876,7.1645,6.6755
"SDF4",11.5158,11.707,12.5825,11.632,11.8646,11.4778,11.4193,12.3483,11.7162,11.7507,12.0044,11.1001,11.2258,12.1333,11.3989,11.0925,11.5262,11.2004,11.7123,11.4639,11.9197,10.8188,12.0024,11.4512,12.0234,11.9595,11.5351,12.0929,10.8446,12.0544,12.4562,12.088,11.4926,12.5147,12.0093,11.4543,9.3964,12.1813,11.8795,12.0373
"B3GALT6",9.6265,9.4318,10.8471,9.3552,9.6377,8.7742,9.4384,10.3872,9.5735,9.5437,9.1768,9.1569,9.1845,9.4311,9.3281,9.2507,9.1057,9.6835,9.2579,9.3452,9.5084,8.6366,9.7752,10.4565,9.832,9.6965,9.3506,9.7637,9.8437,10.7648,10.834,9.7708,9.7776,10.4027,11.4738,9.801,9.4467,9.7107,9.2396,9.7731
