"gene","logFC","AveExpr","t","pvalue","padj"
"SAMD11",0.1794,9.0963,0.9039,0.3661,0.5406
"NOC2L",-0.1182,11.3632,-0.6496,0.516,0.6741
"KLHL17",0.1228,8.121,0.4847,0.6279,0.7616
"PLEKHN1",0.0119,7.5343,0.0306,0.9756,0.9867
"PERM1",-0.2485,6.9208,-0.6363,0.5246,0.6814
"HES4",0.3539,7.8353,0.8955,0.3705,0.5452
"ISG15",0.11,10.7625,0.243,0.808,0.8881
"AGRN",-0.329,13.6625,-0.9725,0.3308,0.5063
"RNF223",1.1923,6.9734,2.4769,0.01325,0.05126
"C1orf159",-0.2145,8.7167,-1.0961,0.273,0.4467
"TTLL10",0.5728,6.9214,0.9005,0.3679,0.5426
"TNFRSF18",-2.4483,7.9908,-5.2745,1.331e-07,4.619e-06
"TNFRSF4",-0.479,7.6841,-1.3019,0.1929,0.355
"SDF4",-0.318,12.2835,-1.8648,0.06221,0.1589
"B3GALT6",-0.2007,9.6546,-1.125,0.2606,0.4323
"C1QTNF12",-2.2993,6.7989,-4.4843,7.316e-06,0.0001388
"UBE2J2",-0.0277,10.5257,-0.215,0.8298,0.9018
"SCNN1D",0.3047,7.2164,0.8386,0.4017,0.5739
"ACAP3",0.071,10.1222,0.282,0.7779,0.8679
"PUSL1",0.1736,8.8901,0.9594,0.3374,0.5119
"INTS11",-0.0888,11.373,-0.5929,0.5533,0.7039
"CPTP",-0.1295,9.9626,-0.6272,0.5305,0.6861
"TAS1R3",0.3495,7.2772,0.8203,0.4121,0.5831
"DVL1",0.4525,11.0208,1.81,0.07029,0.1734
"MXRA8",0.4336,10.892,1.4177,0.1563,0.306
"AURKAIP1",0.2776,10.824,1.5469,0.1219,0.258
"CCNL2",0.1214,11.4078,0.4462,0.6554,0.7824
"MRPL20",0.2694,10.9592,2.0969,0.036,0.1076
"ANKRD65",0.1831,9.5826,0.4571,0.6476,0.7768
"VWA1",0.524,11.4827,1.9197,0.0549,0.1455
"ATAD3C",0.9116,8.2405,2.8121,0.004922,0.02402
"ATAD3B",0.2737,9.4615,0.9806,0.3268,0.5026
"ATAD3A",-0.039,10.0802,-0.1962,0.8445,0.9111
"TMEM240",-0.0886,6.5321,-0.2768,0.782,0.8707
