"gene","logFC","AveExpr","t","pvalue","padj"
"GENE0001",0.1073,3.4838,0.5527,0.5927,0.9745
"GENE0002",0.7635,6.6349,1.309,0.2317,0.8055
"GENE0003",-0.415,7.971,-1.1743,0.2677,0.8513
"GENE0004",-0.6912,1.1275,-1.6479,0.1429,0.6728
"GENE0005",-0.2327,6.7218,-0.9021,0.3884,0.899
"GENE0006",-0.0742,7.2612,-0.3139,0.7603,0.9888
"GENE0007",0.4433,4.9287,0.9471,0.3728,0.894
"GENE0008",-0.2151,5.0272,-1.2975,0.2273,0.8033
"GENE0009",-0.2054,4.7392,-0.7881,0.4489,0.9154
"GENE0010",0.3985,4.0788,1.2464,0.2424,0.8235
"GENE0011",0.7638,5.0562,3.4351,0.007892,0.1214
"GENE0012",0.117,3.9597,0.3734,0.7166,0.9879
"GENE0013",1.3983,4.5554,2.1953,0.05303,0.4311
"GENE0014",-0.071,5.9438,-0.2693,0.7942,0.9888
"GENE0015",-0.4134,7.6281,-0.8353,0.4261,0.9033
"GENE0016",-0.5417,5.6331,-1.8132,0.1051,0.6048
"GENE0017",0.6939,4.296,1.2487,0.2548,0.8462
"GENE0018",-0.4368,4.4587,-0.9696,0.3554,0.8898
"GENE0019",3.019,5.548,4.8066,0.0007293,0.01779
"GENE0020",-0.4395,10.6086,-1.0805,0.3188,0.8739
"GENE0021",-0.1652,6.3118,-0.3351,0.7446,0.9888
"GENE0022",0.72,4.7651,1.9505,0.08232,0.526
"GENE0023",-0.7289,4.4359,-1.0942,0.3042,0.8732
"GENE0024",-0.182,6.9457,-0.6988,0.508,0.9416
"GENE0025",-0.6019,4.2781,-1.8214,0.1008,0.6011
"GENE0026",0.0792,3.1171,0.1443,0.8889,0.9888
"GENE0027",-0.4985,7.1823,-1.127,0.2922,0.8661
"GENE0028",0.4268,3.7705,0.8955,0.3971,0.9008
"GENE0029",2.8127,6.7652,8.5794,2.398e-05,0.001918
"GENE0030",0.0722,3.8997,0.1755,0.8652,0.9888
"GENE0031",0.3347,8.1108,1.1842,0.264,0.8504
"GENE0032",-0.5444,5.3382,-1.3505,0.2112,0.7895
"GENE0033",-0.2595,4.6669,-1.1585,0.2736,0.8551
"GENE0034",-0.9397,5.1561,-1.9548,0.08004,0.526
"GENE0035",0.4434,2.6893,1.881,0.09798,0.5867
"GENE0036",0.1886,3.897,0.2804,0.7859,0.9888
"GENE0037",-0.1968,2.4426,-0.26,0.8021,0.9888
"GENE0038",-0.4466,2.8253,-1.3676,0.2055,0.7864
"GENE0039",0.3164,5.1399,0.7986,0.4439,0.9135
"GENE0040",-1.1103,4.7468,-2.4789,0.0346,0.3296
"GENE0041",0.3826,9.0707,1.0852,0.3033,0.8732
"GENE0042",0.2872,3.3413,0.4381,0.674,0.9879
"GENE0043",0.7536,4.6124,2.209,0.05424,0.4357
"GENE0044",-1.8604,5.1454,-3.4105,0.009443,0.1394
"GENE0045",-0.0294,4.5667,-0.05,0.9614,0.9911
"GENE0046",0.4775,3.607,0.8079,0.4381,0.9086
"GENE0047",-0.5771,3.7138,-2.2711,0.05881,0.4541
"GENE0048",0.482,3.6802,0.9724,0.3706,0.894
"GENE0049",0.8283,5.2703,5.4332,0.0003181,0.01004
"GENE0050",-0.2724,5.2083,-1.0104,0.3395,0.8823
"GENE0051",-0.1409,1.758,-0.2341,0.8206,0.9888
"GENE0052",0.208,4.6054,0.3008,0.7703,0.9888
"GENE0053",-2.9898,2.0787,-6.7789,7.943e-05,0.003875
"GENE0054",-0.2325,4.0052,-1.0261,0.3309,0.8739
"GENE0055",-0.0727,5.8241,-0.1528,0.8816,0.9888
"GENE0056",-0.0267,7.0446,-0.1399,0.8916,0.9895
"GENE0057",-0.0602,8.801,-0.1188,0.9079,0.9908
"GENE0058",-0.4542,4.3849,-0.8254,0.4285,0.9038
"GENE0059",0.9966,9.7453,5.3449,0.0003404,0.01047
"GENE0060",0.1537,3.5185,0.3491,0.7345,0.9888
"GENE0061",-0.3771,7.4697,-1.0104,0.3406,0.8823
"GENE0062",-1.4196,10.5135,-3.0367,0.01287,0.1739
"GENE0063",0.2141,5.9583,0.366,0.7221,0.9879
"GENE0064",-0.2473,4.6065,-1.047,0.3241,0.8739
"GENE0065",-0.0295,6.1627,-0.0913,0.9294,0.9908
"GENE0066",-0.9403,9.4638,-1.7308,0.1191,0.622
"GENE0067",2.5702,4.5531,3.1594,0.01059,0.1481
"GENE0068",-0.9496,8.7936,-1.4199,0.187,0.7586
"GENE0069",-0.3901,8.4951,-1.7186,0.1243,0.6295
"GENE0070",1.4299,7.6065,5.9054,0.0004712,0.0131
"GENE0071",-0.2214,5.7983,-0.9969,0.3478,0.8845
"GENE0072",0.01,4.8972,0.0315,0.9755,0.9932
"GENE0073",-0.115,4.5198,-0.3139,0.761,0.9888
"GENE0074",0.4469,6.9723,1.1776,0.269,0.8516
"GENE0075",0.0724,10.8329,0.1002,0.9223,0.9908
"GENE0076",2.2574,7.4683,4.0235,0.004221,0.07215
"GENE0077",-0.0156,3.4731,-0.046,0.9644,0.9911
"GENE0078",-0.2215,4.4574,-0.7175,0.4895,0.9309
"GENE0079",-0.5995,6.0434,-2.9137,0.01586,0.202
"GENE0080",0.2259,5.5799,0.5346,0.607,0.9745
"GENE0081",-0.0866,5.5969,-0.1984,0.8468,0.9888
"GENE0082",-0.4128,5.4387,-0.6221,0.5478,0.9586
"GENE0083",-0.3497,3.449,-0.7832,0.4518,0.9155
"GENE0084",0.5661,5.4348,1.2041,0.2568,0.8465
"GENE0085",3.5728,8.5935,9.8154,6.463e-06,0.0008079
"GENE0086",0.3763,7.2347,1.838,0.09597,0.5799
"GENE0087",0.1296,7.3103,0.2412,0.8149,0.9888
"GENE0088",0.1156,5.3907,0.3875,0.7068,0.9879
"GENE0089",0.1626,5.6654,0.8556,0.4197,0.903
"GENE0090",0.4649,3.2869,1.0824,0.307,0.8732
"GENE0091",-1.4231,5.1802,-2.3652,0.04286,0.3861
"GENE0092",-0.2757,6.5676,-1.6084,0.139,0.6728
"GENE0093",0.8372,10.083,1.5864,0.149,0.6837
"GENE0094",-0.5131,8.1821,-1.2346,0.2616,0.8504
"GENE0095",0.0256,4.9673,0.0965,0.9255,0.9908
"GENE0096",0.0462,6.6603,0.1929,0.852,0.9888
"GENE0097",-0.0476,3.9906,-0.1288,0.9002,0.9895
"GENE0098",0.4263,8.096,0.9846,0.348,0.8845
"GENE0099",-1.665,7.3842,-4.0498,0.002327,0.04608
"GENE0100",-0.2341,10.2112,-0.5497,0.5967,0.9745
