"gene","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12"
"GENE0001",3.506,3.4884,2.9441,3.5768,3.128,3.938,3.5977,3.345,3.4154,3.9709,3.8045,3.0914
"GENE0002",6.7228,5.3136,6.8159,6.0808,6.7009,5.8849,8.7126,7.3391,7.578,4.8857,7.2836,6.3009
"GENE0003",8.9428,7.4852,9.0177,7.8648,7.9456,7.8147,8.6111,7.4153,7.8075,6.8755,7.9756,7.8959
"GENE0004",1.5674,1.9154,1.3493,0.822,1.9626,1.2221,0.4156,-0.0439,1.1915,0.6578,2.4438,0.027
"GENE0005",7.3251,6.3276,6.6539,6.9784,7.3906,6.3535,7.1969,5.9808,6.8707,6.6749,6.3066,6.6029
"GENE0006",7.2043,7.9696,6.9881,7.4379,7.0992,7.0905,6.9688,7.4748,7.0348,7.6471,6.5401,7.6789
"GENE0007",3.916,6.1385,3.8333,5.0179,3.771,5.5655,5.0364,5.5937,4.9012,5.3529,4.2772,5.7403
"GENE0008",4.893,5.7168,5.1998,4.9184,4.8211,5.2593,4.8314,5.1386,4.6494,4.7213,4.9518,5.2251
"GENE0009",4.1558,5.0543,4.4812,5.3166,4.8751,5.1684,4.4982,4.8088,4.621,5.4228,4.0506,4.4175
"GENE0010",4.5294,3.3069,4.1421,3.6941,4.5123,3.0922,3.5711,3.9809,4.9773,4.4887,4.5085,4.1415
"GENE0011",4.5053,4.4054,5.1835,4.6373,4.8661,4.4485,5.6176,5.4364,6.081,4.7722,5.6184,5.103
"GENE0012",3.441,4.2319,3.3909,3.4574,4.6802,4.2055,4.5569,4.304,4.3397,4.0893,3.761,3.0582
"GENE0013",4.6903,4.4736,3.0956,3.4333,5.2563,2.1886,3.2791,6.0595,6.198,5.0498,5.3715,5.5695
"GENE0014",6.4076,5.5455,6.4557,6.2787,6.0991,5.0892,5.7488,5.9427,5.404,6.3271,6.2485,5.7787
"GENE0015",7.2812,8.7412,7.2494,8.1196,8.3751,7.2423,6.2405,7.6444,7.5287,9.2225,6.978,6.9141
"GENE0016",5.5166,6.3796,5.9281,6.0294,4.9263,6.6435,5.3983,5.4379,5.4135,5.9544,4.7233,5.246
"GENE0017",4.3135,5.185,3.7511,3.251,5.2681,1.9253,5.2771,4.0209,4.4849,4.4947,5.2168,4.3632
"GENE0018",4.0101,4.888,5.2229,5.7751,4.1811,3.9855,3.7913,3.5087,4.3816,4.0194,5.8118,3.9289
"GENE0019",4.7208,4.1572,3.4712,2.2593,4.4324,5.1901,9.0343,7.342,6.3121,6.6189,7.2504,5.7875
"GENE0020",10.8291,11.0485,10.6488,10.3629,11.3891,10.6916,11.2087,11.8679,9.9497,10.0595,9.6025,9.6447
"GENE0021",6.1251,7.5237,5.7039,5.3849,6.6452,6.9838,6.432,5.3344,6.932,7.2053,6.5296,4.9423
"GENE0022",4.6053,5.0647,3.7707,3.7375,4.5714,4.6811,5.1196,4.6137,4.9985,4.3049,6.4224,5.2918
"GENE0023",5.7758,3.8329,5.8325,4.8092,3.9016,4.65,2.7264,4.0417,6.681,3.6381,3.2217,4.1195
"GENE0024",7.2299,7.2215,6.5542,7.1266,7.043,7.0452,7.2502,5.7226,7.1414,7.1211,6.7069,7.1861
"GENE0025",5.1072,3.9789,5.1829,4.387,5.1118,3.7067,4.0806,3.2642,4.4354,4.2568,4.3463,3.4798
"GENE0026",2.1055,2.6815,3.3462,4.6517,1.5941,4.0861,4.1044,2.1515,3.0652,3.1355,2.889,3.5949
"GENE0027",7.1373,7.8734,7.5273,6.7062,8.2038,7.1415,7.3841,5.9055,7.103,5.702,7.4151,8.0888
"GENE0028",3.6687,5.4055,2.7147,2.9068,2.8206,3.8264,4.4134,3.5476,4.4907,3.4397,3.4104,4.6018
"GENE0029",5.6238,4.5405,6.2433,4.5057,5.5969,5.6427,7.4689,8.0943,8.2662,8.0651,8.6114,8.523
"GENE0030",3.6908,4.0681,4.1374,3.702,3.1062,4.4772,2.5766,3.9537,5.1283,4.0312,3.3811,4.5443
