"gene","PERT0001","PERT0002","PERT0003","PERT0004","PERT0005","PERT0006","PERT0007","PERT0008","PERT0009","PERT0010","PERT0011","PERT0012","PERT0013","PERT0014","PERT0015","PERT0016","PERT0017","PERT0018","PERT0019","PERT0020","PERT0021","PERT0022","PERT0023","PERT0024","PERT0025","PERT0026","PERT0027","PERT0028","PERT0029","PERT0030","PERT0031","PERT0032","PERT0033","PERT0034","PERT0035","PERT0036","PERT0037","PERT0038","PERT0039","PERT0040","PERT0041","PERT0042","PERT0043","PERT0044","PERT0045","PERT0046","PERT0047","PERT0048","PERT0049","PERT0050","PERT0051","PERT0052","PERT0053","PERT0054","PERT0055","PERT0056","PERT0057","PERT0058","PERT0059","PERT0060","PERT0061","PERT0062","PERT0063","PERT0064","PERT0065","PERT0066","PERT0067","PERT0068","PERT0069","PERT0070","PERT0071","PERT0072","PERT0073","PERT0074","PERT0075","PERT0076","PERT0077","PERT0078","PERT0079","PERT0080","PERT0081","PERT0082","PERT0083","PERT0084","PERT0085","PERT0086","PERT0087","PERT0088","PERT0089","PERT0090","PERT0091","PERT0092","PERT0093","PERT0094","PERT0095","PERT0096","PERT0097","PERT0098","PERT0099","PERT0100","PERT0101","PERT0102","PERT0103","PERT0104","PERT0105","PERT0106","PERT0107","PERT0108","PERT0109","PERT0110","PERT0111","PERT0112","PERT0113","PERT0114","PERT0115","PERT0116","PERT0117","PERT0118","PERT0119","PERT0120","PERT0121","PERT0122","PERT0123","PERT0124","PERT0125","PERT0126","PERT0127","PERT0128","PERT0129","PERT0130","PERT0131","PERT0132","PERT0133","PERT0134","PERT0135","PERT0136","PERT0137","PERT0138","PERT0139","PERT0140","PERT0141","PERT0142","PERT0143","PERT0144","PERT0145","PERT0146","PERT0147","PERT0148","PERT0149","PERT0150","PERT0151","PERT0152","PERT0153","PERT0154","PERT0155","PERT0156","PERT0157","PERT0158","PERT0159","PERT0160","PERT0161","PERT0162","PERT0163","PERT0164","PERT0165","PERT0166","PERT0167","PERT0168","PERT0169","PERT0170","PERT0171","PERT0172","PERT0173","PERT0174","PERT0175","PERT0176","PERT0177","PERT0178","PERT0179","PERT0180","PERT0181","PERT0182","PERT0183","PERT0184","PERT0185","PERT0186","PERT0187","PERT0188","PERT0189","PERT0190","PERT0191","PERT0192","PERT0193","PERT0194","PERT0195","PERT0196","PERT0197","PERT0198","PERT0199","PERT0200","PERT0201","PERT0202","PERT0203","PERT0204","PERT0205","PERT0206","PERT0207","PERT0208","PERT0209","PERT0210","PERT0211","PERT0212","PERT0213","PERT0214","PERT0215","PERT0216","PERT0217","PERT0218","PERT0219","PERT0220","PERT0221","PERT0222","PERT0223","PERT0224","PERT0225","PERT0226","PERT0227","PERT0228","PERT0229","PERT0230","PERT0231","PERT0232","PERT0233","PERT0234","PERT0235","PERT0236","PERT0237","PERT0238","PERT0239","PERT0240","PERT0241","PERT0242","PERT0243","PERT0244","PERT0245","PERT0246","PERT0247","PERT0248","PERT0249","PERT0250","PERT0251","PERT0252","PERT0253","PERT0254","PERT0255","PERT0256","PERT0257","PERT0258","PERT0259","PERT0260","PERT0261","PERT0262","PERT0263","PERT0264","PERT0265","PERT0266","PERT0267","PERT0268","PERT0269","PERT0270","PERT0271","PERT0272","PERT0273","PERT0274","PERT0275","PERT0276","PERT0277","PERT0278","PERT0279","PERT0280","PERT0281","PERT0282","PERT0283","PERT0284","PERT0285","PERT0286","PERT0287","PERT0288","PERT0289","PERT0290","PERT0291","PERT0292","PERT0293","PERT0294","PERT0295","PERT0296","PERT0297","PERT0298","PERT0299","PERT0300"
"ADH5",0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,-1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,-1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0
"PTK2B",0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,-1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0
"STAT5B",0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1
"DUSP3",0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0
"ATP6V1D",0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0
"TIMM17B",0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,0,-1,0,0,-1,0
"APOE",0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,-1,1,0,0,1,1,0,1,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"CDHR1",0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,-1,0,1,1,0
"UBQLN2",0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"DEGS1",0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,-1,0,-1,-1
