"gene","direction"
"COL10A1","up"
"TOP2A","up"
"KIF20A","up"
"UBE2C","up"
"MELK","up"
"PRC1","up"
"NUSAP1","up"
"BUB1","up"
"KIF14","up"
"PLK1","up"
"CDK1","up"
"FOXM1","up"
"CDC20","up"
"DTL","up"
"AURKA","up"
"CCNA2","up"
"CDC6","up"
"ZWINT","up"
"ZWILCH","up"
"CLEC5A","up"
"CENPA","up"
"CDC45","up"
"SMC4","up"
"FN1","up"
"RRM2","up"
"POLE2","up"
"NVL","up"
"CREB3L1","up"
"CENPM","up"
"RFX5","up"
"ALDH18A1","up"
"STMN1","up"
"BRCA2","up"
"SYNGR3","up"
"CDKN2A","up"
"HIST1H2BH","up"
"FLAD1","up"
"PAFAH1B3","up"
"ADAR","up"
"ZNF93","up"
"NAT1","up"
"HN1L","up"
"CDC25A","up"
"CD80","up"
"CHEK1","up"
"GINS2","up"
"CCNF","up"
"HIST1H2BD","up"
"IL21R","up"
"PRAF2","up"
"SPP1","up"
"ATXN2L","up"
"FEN1","up"
"HNRNPC","up"
"PMM2","up"
"FBN2","up"
"RAI14","up"
"ABCC5","up"
"TANC2","up"
"RFC2","up"
"TFF1","up"
"DNAJC1","up"
"TMCO1","up"
"REEP4","up"
"CAPRIN1","up"
"IPO9","up"
"HNRNPL","up"
"ZSCAN16","up"
"PRPF4","up"
"MLLT11","up"
"RAB31","up"
"COL5A1","up"
"B4GALT1","up"
"LIG3","up"
"DSCC1","up"
"FAM13A","down"
"HBB","down"
"EGFR","down"
"B3GALT1","down"
"INPP1","down"
"CAV1","down"
"CAT","down"
"METTL7A","down"
"PROS1","down"
"XPNPEP2","down"
"ALDH1A3","down"
"ADRB2","down"
"PRNP","down"
"GYG2","down"
"DMD","down"
"ID4","down"
"CHRDL1","down"
"TXNIP","down"
"CD209","down"
"AQP1","down"
"ASB1","down"
"GNG11","down"
"DPT","down"
"FMO2","down"
"TFPI","down"
"KLHL21","down"
"CAV2","down"
"CRYAB","down"
"GDF10","down"
"EPAS1","down"
"CEP68","down"
"ABCA5","down"
"AOX1","down"
"AKR1C2","down"
"DNAJB4","down"
"CES3","down"
"SNCA","down"
"TGFBR2","down"
"GHR","down"
"AQP7","down"
"CXCL2","down"
"DST","down"
"ANK2","down"
"ARL4A","down"
"ADRA1A","down"
"FOXO4","down"
"CTNNAL1","down"
"ETS2","down"
"BCL6","down"
"CLDN11","down"
"AKR1C1","down"
"APOD","down"
"DUSP22","down"
"TRPM3","down"
"SH3BP5","down"
"CA3","down"
"AMIGO2","down"
"CDC14B","down"
"PTN","down"
"ERG","down"
"NTRK2","down"
"NR3C1","down"
"FRMPD1","down"
"HLF","down"
"ADD3","down"
"STAT5B","down"
"MBNL2","down"
"PPARG","down"
"CD40","down"
"ADH5","down"
"ARHGEF40","down"
"EHD2","down"
"DUSP1","down"
"HSD17B11","down"
"SFRP1","down"
