"gene","TCGA-BH-A0C0-11A","TCGA-BH-A18J-11A","TCGA-AC-A2FM-11B","TCGA-BH-A18N-11A","TCGA-BH-A0DQ-11A","TCGA-GI-A2C8-11A","TCGA-BH-A0H5-11A","TCGA-BH-A0DZ-11A","TCGA-BH-A0DL-11A","TCGA-BH-A18M-11A","TCGA-E9-A1N9-11A","TCGA-BH-A18Q-11A","TCGA-BH-A1FM-11B","TCGA-BH-A1EO-11A","TCGA-BH-A1F8-11B","TCGA-BH-A0DG-11A","TCGA-E9-A1RB-11A","TCGA-BH-A0DO-11A","TCGA-A7-A13E-11A","TCGA-BH-A1FR-11B","TCGA-A8-A0A7-01A","TCGA-E9-A22D-01A","TCGA-A8-A08H-01A","TCGA-BH-A0DZ-01A","TCGA-BH-A0BQ-01A","TCGA-JL-A3YW-01A","TCGA-E9-A22G-01A","TCGA-AO-A0JE-01A","TCGA-E9-A1N6-01A","TCGA-D8-A1XY-01A","TCGA-C8-A12T-01A","TCGA-AN-A0FX-01A","TCGA-A8-A06U-01A","TCGA-C8-A135-01A","TCGA-S3-AA14-01A","TCGA-E9-A3X8-01A","TCGA-BH-A0AW-01A","TCGA-C8-A12Q-01A","TCGA-AQ-A04L-01B","TCGA-AN-A0XP-01A","TCGA-EW-A6S9-01A","TCGA-A8-A06X-01A","TCGA-C8-A1HF-01A","TCGA-3C-AALK-01A","TCGA-C8-A12P-01A","TCGA-E2-A1IF-01A","TCGA-BH-A0C3-01A","TCGA-EW-A1IZ-01A","TCGA-GM-A2DO-01A","TCGA-EW-A1J5-01A","TCGA-D8-A1XG-01A","TCGA-BH-A5J0-01A","TCGA-E9-A227-01A","TCGA-B6-A1KC-01B","TCGA-AN-A046-01A","TCGA-AN-A0XL-01A","TCGA-E2-A1IL-01A","TCGA-A2-A0YL-01A","TCGA-D8-A1JC-01A","TCGA-AO-A12H-01A","TCGA-D8-A27K-01A","TCGA-A8-A06Y-01A","TCGA-BH-A1EY-01A","TCGA-BH-A0DL-01A","TCGA-GM-A5PX-01A","TCGA-GI-A2C8-01A","TCGA-D8-A73W-01A","TCGA-D8-A1JM-01A","TCGA-A2-A0T7-01A","TCGA-A8-A08I-01A","TCGA-BH-A0BL-01A","TCGA-LL-A441-01A","TCGA-D8-A143-01A","TCGA-EW-A6SB-01A","TCGA-E2-A150-01A","TCGA-A2-A0T2-01A","TCGA-AO-A0JL-01A","TCGA-EW-A1P4-01A","TCGA-LL-A73Y-01A","TCGA-A1-A0SK-01A","TCGA-HN-A2NL-01A","TCGA-C8-A1HJ-01A","TCGA-EW-A1PH-01A","TCGA-E9-A5FL-01A","TCGA-AC-A2QH-01A","TCGA-S3-AA15-01A","TCGA-A2-A3XT-01A","TCGA-D8-A1XQ-01A","TCGA-A7-A4SE-01A","TCGA-D8-A1JF-01A","TCGA-B6-A402-01A","TCGA-AC-A2QH-01B","TCGA-A7-A6VV-01A","TCGA-BH-A0RX-01A","TCGA-AR-A5QQ-01A"
"SAMD11",8.1238,8.4872,9.937,8.6138,8.3852,8.8567,7.9375,9.7914,8.1642,8.34,8.1811,7.9946,7.9901,8.9291,8.3164,7.8236,8.1467,8.0533,8.2919,8.3696,9.8263,9.5672,8.8803,11.5908,10.932,9.5987,9.2352,9.2261,10.7409,8.6572,10.7269,8.8175,9.2676,9.798,10.9892,11.6703,10.7996,8.4828,9.7993,8.2264,9.421,9.9779,11.4337,11.6081,9.0157,9.6689,9.2693,10.9517,9.9893,8.2504,7.8886,10.9172,9.1716,7.5493,9.2223,10.6991,8.2118,8.5229,9.476,9.4809,9.811,8.3104,9.8223,9.4976,10.8516,9.0606,7.9871,8.3248,10.0011,8.6026,8.6241,8.6268,8.8632,10.4735,9.1898,10.4638,10.8868,9.1374,8.5904,10.6875,9.557,9.86,9.1808,11.7058,10.2233,9.5046,9.9954,8.19,8.649,7.8136,10.1814,10.4044,9.2726,9.4087,10.387
"NOC2L",10.8719,11.2792,11.7766,10.8495,10.9431,11.7427,10.7457,11.9688,10.7588,11.0326,11.1905,10.4937,10.6402,10.7458,10.4928,10.6229,10.633,10.6828,10.3576,10.446,11.5995,11.5221,11.2316,13.1759,11.7908,11.4462,11.6989,11.0365,11.924,10.7531,12.6812,11.556,12.0221,12.1388,12.0608,12.3608,12.0744,10.9198,12.0031,10.7951,12.0048,12.307,12.4656,12.1412,11.9542,11.7014,11.3709,12.035,11.4757,10.9826,10.6544,12.225,11.3768,10.0601,12.0886,11.5446,11.1353,11.0168,10.6349,11.6696,10.9387,10.8726,11.5728,12.1926,11.5854,10.8072,10.441,11.1178,11.2043,11.7421,11.1485,10.7835,11.775,12.6818,12.3261,12.8549,11.4507,12.1438,10.8979,12.6675,11.9589,11.5556,11.6581,12.8225,11.6502,11.6615,12.5537,10.7211,10.7687,10.2057,12.4091,12.0033,12.0223,11.6779,12.5948
"KLHL17",7.6665,7.5365,8.21,7.7082,7.4655,7.0836,7.9579,7.7679,7.3992,7.4894,7.6869,7.5976,7.3779,6.9879,7.4222,6.9485,6.977,7.4857,7.1794,7.7513,7.453,8.2422,7.4308,8.3455,7.4733,8.5626,8.1839,7.3507,8.3033,8.0037,7.5701,8.2297,7.859,7.7,8.241,8.8961,7.8018,7.2714,8.3744,7.1122,7.88,7.8381,8.1679,9.1189,7.5511,8.5535,8.3242,8.6875,9.0554,8.3271,7.8013,8.4941,7.1819,7.1671,7.5729,7.8261,7.4135,7.726,7.5667,7.8045,7.9389,7.2351,7.9348,8.6474,8.5522,7.6194,8.267,6.9596,7.6526,7.7243,7.4079,8.5702,7.493,8.5949,7.8227,7.9759,9.3499,7.5123,8.208,8.7881,8.3943,7.3937,7.6039,8.701,8.1886,8.4916,10.2593,8.1466,8.2558,6.9229,10.0874,9.8307,8.3387,7.0194,8.9626
"PLEKHN1",7.3418,7.2613,8.3929,7.5194,7.1374,8.1173,7.5258,8.4082,7.2835,7.1995,7.1903,7.0043,6.9164,5.811,6.9082,6.7922,6.5467,7.05,6.588,7.1617,7.9306,7.2975,7.2401,8.7317,8.3317,8.2627,6.5552,7.3026,8.8024,7.9985,7.5949,7.9175,7.5781,7.3713,7.5771,8.8027,8.1697,7,7.2476,7.488,8.4468,7.8005,8.0391,9.5869,7.6075,8.0917,7.9293,8.1939,7.81,7.5582,6.9245,7.9471,7.4862,5.87,7.6322,6.974,8.0796,7.7614,7.6413,7.6098,8.1424,7.4254,7.851,9.786,7.7531,6.8004,7.7754,6.5241,7.9377,7.4379,7.7459,7.1879,7.3251,8.1358,9.1674,9.4875,9.3228,7.8471,7.1757,6.2423,6.0624,6.7705,7.6186,8.1377,5.9687,8.1633,10.0036,6.7433,7.0852,6.7035,8.9746,6.2254,7.436,7.6181,9.2338
"PERM1",6.8921,7.0766,7.9397,6.7806,6.6419,13.005,7.0884,7.5073,6.5873,6.6226,6.4084,6.5153,6.2793,5.811,6.4747,6.4253,6.1605,6.7334,6.1436,6.6896,7.234,6.7874,6.421,7.5392,7.752,7.4104,6.292,6.7222,7.6577,7.1222,6.8463,7.0344,7.2408,6.7257,7.2813,9.4224,7.6452,6.2784,6.8732,6.6792,7.555,7.3681,7.5891,8.8893,6.8556,7.708,7.1478,7.729,7.3025,6.6565,6.2165,7.5925,7.0382,5.6762,6.9187,6.558,7.4446,6.9476,6.8925,7.0193,7.2856,6.6213,7.018,8.4009,7.8579,6.1663,6.7073,6.1732,6.9636,6.6291,6.901,6.6092,6.6286,7.8081,8.0124,8.8568,9.2672,6.9352,6.4517,5.9468,5.8297,6.5305,6.9786,8.5631,5.7048,7.2856,8.7051,6.394,6.6172,6.2334,8.3475,6.1343,6.6509,6.966,8.3964
"HES4",7.6539,7.5292,8.9545,7.2093,7.8209,6.9668,8.2408,7.9967,7.5053,7.526,7.6031,7.1327,6.6315,6.9314,7.4383,6.7394,6.693,7.0066,6.9778,7.0731,7.5455,8.1179,6.8505,8.8526,8.2534,9.3499,6.963,7.8477,8.3762,7.5826,8.3056,7.1104,8.0481,8.6693,9.3052,10.1124,8.4336,6.9024,6.5079,8.4075,9.7366,9.3819,9.0587,10.1903,7.5428,8.7086,7.5299,9.1014,8.9429,7.2298,6.9245,8.96,6.8882,5.87,7.9219,7.2074,7.4674,7.72,7.5456,8.3599,7.1876,6.9745,8.3986,7.9051,8.8552,6.8761,8.2401,7.1273,7.7797,6.1921,7.6468,7.6981,8.748,8.0958,7.4458,8.0596,9.9056,8.362,7.6239,6.5289,6.3062,7.5998,7.9242,10.4447,6.2225,9.3933,7.349,7.8591,8.6999,6.3752,8.9411,6.514,10.2376,7.4167,9.0085
"ISG15",9.1209,8.5685,9.5734,8.5605,7.9609,8.2384,7.9426,8.8484,9.0916,9.9957,8.0475,7.3861,8.0608,9.5278,9.137,6.9925,8.2046,7.3757,8.4124,8.9921,12.6841,12.8661,10.4146,11.4541,11.9453,12.3411,11.3157,12.6493,11.8406,12.3903,10.9548,9.4723,13.6498,10.0705,9.4381,12.7611,10.5809,10.219,9.1605,14.4532,12.7923,14.2368,11.1322,10.7853,12.6089,10.05,11.8975,10.978,11.6827,13.1901,11.1115,13.7699,9.8416,8.2669,12.3918,8.6013,11.2929,10.2411,12.0764,12.7012,8.2083,11.9426,9.8405,12.0844,10.4964,9.8682,13.0515,9.1434,10.3766,11.1676,10.5952,10.7461,8.4146,11.9946,11.2637,11.61,10.0715,11.0835,9.366,7.3892,10.3665,9.6258,12.6457,13.8794,10.3207,10.1993,11.5723,10.0942,12.0367,7.2783,10.8843,8.209,10.3756,12.9515,12.0078
"AGRN",13.2586,12.5914,13.5235,12.6229,13.058,10.2877,12.9878,13.8595,12.753,12.5577,12.2642,12.6675,11.848,10.6334,12.5126,12.2572,11.151,12.6251,11.7417,12.1865,12.1656,12.4689,12.1877,12.9273,14.1332,13.2413,11.2919,11.8622,13.6634,12.0423,12.8911,13.6052,12.296,12.9271,13.8697,13.7736,13.0187,12.3982,11.803,12.9907,14.2115,13.3289,11.669,14.316,12.1155,12.9973,12.4455,13.0218,12.3914,13.2707,13.2368,13.1641,12.2919,9.8647,12.7804,12.5102,13.474,12.9661,12.5446,13.5957,12.9886,12.8553,13.3169,13.0631,12.6851,12.561,12.9628,12.4449,13.6928,12.9843,13.2092,12.6951,12.0239,12.9822,13.8013,13.0029,12.9467,15.2052,13.2526,12.5831,10.692,10.5483,12.193,13.5467,11.3275,12.9788,12.4865,13.369,13.5363,11.2431,13.1157,10.8558,14.7215,12.6863,14.0739
"RNF223",6.4538,6.9781,8.4553,6.6684,6.6856,5.3397,6.6192,8.0228,6.2696,6.8818,6.6588,6.2289,6.5838,5.3397,6.8317,6.5304,6.3007,6.8658,5.8625,6.5188,7.7895,9.4256,6.2118,9.1472,6.7777,7.3633,5.6622,6.706,8.9038,6.7211,8.2046,6.4031,8.1544,6.3122,7.4061,7.5574,7.3738,6.8233,6.6375,7.7526,8.2131,8.7673,6.3379,9.0226,6.5382,7.4893,7.738,8.4761,7.9536,6.9726,6.6483,9.1245,7.243,6.0855,8.3546,6.4721,6.8197,7.1316,7.8142,7.1595,6.4287,6.3084,8.5444,7.3028,6.8996,6.5145,6.7518,6.6415,6.836,6.6291,6.3469,6.0789,7.1316,6.1627,7.3271,8.4351,6.6346,6.4439,6.1072,6.3765,5.3397,5.9825,6.8637,7.0339,5.3397,5.8384,6.2705,8.4879,6.9534,5.8228,7.0607,5.3397,6.978,6.1691,7.699
"C1orf159",8.3652,8.5991,9.5717,8.3487,8.3508,7.2154,8.6184,8.9265,8.3791,8.3479,8.5224,8.3365,8.0309,7.4808,8.0747,7.9579,7.6608,8.1805,8.0684,8.207,8.3689,9.0251,8.2313,8.9922,8.8108,9.3522,8.9494,7.6677,9.3395,8.0902,9.1381,8.98,8.8678,9.2277,9.5143,10.2105,9.5818,8.8475,9.3488,8.2954,9.3146,9.7479,8.757,9.8425,7.9774,9.4919,8.5231,9.4219,9.9665,8.954,7.8331,9.8817,7.7859,7.6851,8.542,9.0146,8.6617,8.6138,8.5127,8.178,8.7559,8.0408,8.9571,9.5701,9.1134,8.1239,8.515,8.433,8.5105,8.6496,8.6336,8.8828,9.1161,9.6266,9.0925,9.8444,9.6617,9.0718,8.6175,9.5891,9.2556,8.1266,8.795,10.0334,8.0359,8.7493,9.7077,8.8481,8.703,7.5821,9.9057,9.3268,9.315,8.8996,9.3641
